Bias(mV),Speed,Chain length (A),Probability
425,4,00:02,79.31
425,4,02:04,18.03
425,4,04:06,1.99
425,4,06:08,0.4
425,4,08:10,0.13
425,5,00:02,73.28
425,5,02:04,24.89
425,5,04:06,1.82
425,5,06:08,0
425,5,08:10,0
